id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
355,1,1,1,http://999.vipkid.com.cn,999.vipkid.com.cn,1,ali-public-noncore-waf.vipkid.com.cn,39.105.226.119,1,1,80,200,OK,由于相关政策原因，本页面服务即时下线，若需要进行网络检测，可以尝试其他类似的互联网服务：,,39.104.0.0/15,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,Brute
358,1,1,1,https://999.vipkid.com.cn,999.vipkid.com.cn,1,ali-public-noncore-waf.vipkid.com.cn,39.105.226.119,1,1,443,200,OK,由于相关政策原因，本页面服务即时下线，若需要进行网络检测，可以尝试其他类似的互联网服务：,,39.104.0.0/15,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,Brute
176,1,1,1,http://account.vipkid.com.cn,account.vipkid.com.cn,1,"account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com","8.45.52.221,8.45.52.222,8.45.52.223,8.45.52.224,8.45.52.225,8.45.52.226,8.45.52.227,8.45.52.228","1,1,1,1,1,1,1,1",1,80,200,OK,VIPKID账号安全登录,"Tengine,cache2.l2nu16[8,0], vcache16.cn2560[54,0]","8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20","AS3356,AS3356,AS3356,AS3356,AS3356,AS3356,AS3356,AS3356","LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3","美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚","Level3,Level3,Level3,Level3,Level3,Level3,Level3,Level3",IP138Query
179,1,1,1,https://account.vipkid.com.cn,account.vipkid.com.cn,1,"account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com,account.vipkid.com.cn.w.kunlungr.com","8.45.52.221,8.45.52.222,8.45.52.223,8.45.52.224,8.45.52.225,8.45.52.226,8.45.52.227,8.45.52.228","1,1,1,1,1,1,1,1",1,443,200,OK,VIPKID账号安全登录,"Tengine,cache21.l2nu16[32,0], vcache31.cn2560[76,0]","8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20,8.45.48.0/20","AS3356,AS3356,AS3356,AS3356,AS3356,AS3356,AS3356,AS3356","LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3,LEVEL3","美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚,美国加利福尼亚","Level3,Level3,Level3,Level3,Level3,Level3,Level3,Level3",IP138Query
168,1,1,1,https://activity.vipkid.com.cn,activity.vipkid.com.cn,1,"activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com","47.246.7.232,47.246.7.229,47.246.7.228,47.246.7.230,47.246.7.233,47.246.7.234,47.246.7.227,47.246.7.231","1,1,1,1,1,1,1,1",1,443,200,OK,VIPKID 在线青少儿英语,"Tengine,cache19.l2cm12-6[180,0], vcache29.cn2560[260,0]","47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
280,1,1,1,http://activity.vipkid.com.cn,activity.vipkid.com.cn,1,"activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com,activity.vipkid.com.cn.w.kunlungr.com","47.246.7.232,47.246.7.229,47.246.7.228,47.246.7.230,47.246.7.233,47.246.7.234,47.246.7.227,47.246.7.231","1,1,1,1,1,1,1,1",1,80,200,OK,VIPKID 在线青少儿英语,"Tengine,cache9.l2cm12-6[100,0], vcache23.cn2560[139,0]","47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24,47.246.7.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
416,0,0,1,http://ai.vipkid.com.cn,ai.vipkid.com.cn,1,ali-office-noncore.vipkid.com.cn,10.21.209.209,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ai.vipkid.com.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001C10CDA2BB0>, 'Connection to ai.vipkid.com.cn timed out. (connect timeout=13)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
417,0,0,1,https://ai.vipkid.com.cn,ai.vipkid.com.cn,1,ali-office-noncore.vipkid.com.cn,10.21.209.209,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ai.vipkid.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001C10CDAF400>, 'Connection to ai.vipkid.com.cn timed out. (connect timeout=13)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
122,1,1,1,http://ali-apm-gtm.vipkid.com.cn,ali-apm-gtm.vipkid.com.cn,1,"ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com","47.246.48.226,47.246.48.230,47.246.48.225,47.246.48.231,47.246.48.224,47.246.48.227,47.246.48.229,47.246.48.228","1,1,1,1,1,1,1,1",1,80,404,Not Found,404 Not Found,,"47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
129,1,1,1,https://ali-apm-gtm.vipkid.com.cn,ali-apm-gtm.vipkid.com.cn,1,"ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com,ali-apm.vipkid.com.cn.w.cdngslb.com","47.246.48.226,47.246.48.230,47.246.48.225,47.246.48.231,47.246.48.224,47.246.48.227,47.246.48.229,47.246.48.228","1,1,1,1,1,1,1,1",1,443,404,Not Found,404 Not Found,,"47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24,47.246.48.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
