IP,Timestamp,HTTP_Method,Request_Path,HTTP_Status,Response_Size,Referer,User_Agent,Server_IP
access.log:10.90.175.27,09/Aug/2023:23:44:15 +0800,POST,/gmp/mm/supplychainmanager/abandonApplication/abandonSubmit,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:15 +0800,POST,/gmp/mm/supplychainmanager/abandonApplication/deleteList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:15 +0800,POST,/gmp/mm/supplychainmanager/shipment/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:15 +0800,POST,/gmp/mm/supplychainmanager/abandonApplication/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:16 +0800,POST,/gmp/mm/supplychainmanager/abandonApplication/updateList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:17 +0800,POST,/gmp/mm/supplychainmanager/admitCheckPlanSync/queryVOListNoPaging,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:17 +0800,POST,/gmp/mm/supplychainmanager/admitCheckPlanSyncDOTO/getBureauCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:17 +0800,POST,/gmp/mm/supplychainmanager/admitCheckPlanSyncDOTO/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:17 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTask/getBureauCode,200,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:18 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTask/logicDelete/,200,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:18 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTask/queryVOList,200,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:19 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTaskItem/insertList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:19 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTaskItem/logicDelete/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:19 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTaskItem/updateList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:20 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTaskSync/queryVOCount,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:20 +0800,POST,/gmp/mm/supplychainmanager/admitCheckTaskSync/getProvinceAndBureauCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:20 +0800,POST,/gmp/mm/supplychainmanager/appraiseQuery/queryVOCount,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:21 +0800,POST,/gmp/mm/supplychainmanager/assets/product/toScrap,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:21 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirm/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:21 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirm/queryVOListNoPaging,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:22 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirmDocSync/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:22 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirmDocSync/synNewDeleteToDo,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:23 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirmItem/logicDelete/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:23 +0800,POST,/gmp/mm/supplychainmanager/assignmentConfirmItem/queryAssignmentConfirmItemListCount,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:24 +0800,POST,/gmp/mm/supplychainmanager/attachInfo/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:24 +0800,POST,/gmp/mm/supplychainmanager/attachInfo/queryVOListByPage,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:24 +0800,POST,/gmp/mm/supplychainmanager/attachementUtils/downloadAtmWithToken/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/attachmentDTOSync/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/attachmentDTOSync/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/backInfos/delete,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/backInfos/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:26 +0800,POST,/gmp/mm/supplychainmanager/backReason/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
